loop1,loop2,loop3,time
600.0,540.0,660.0,583.0
600.0,600.0,420.0,584.0
540.0,540.0,600.0,585.0
540.0,540.0,540.0,586.0
660.0,600.0,540.0,587.0
540.0,540.0,660.0,588.0
540.0,600.0,540.0,589.0
540.0,540.0,600.0,590.0
540.0,600.0,480.0,591.0
600.0,540.0,540.0,592.0
540.0,540.0,660.0,593.0
600.0,540.0,480.0,594.0
540.0,600.0,660.0,595.0
540.0,600.0,480.0,596.0
600.0,540.0,660.0,597.0
540.0,540.0,480.0,598.0
540.0,540.0,600.0,599.0
600.0,660.0,480.0,600.0
540.0,540.0,660.0,601.0
600.0,600.0,600.0,602.0
540.0,480.0,540.0,603.0
540.0,540.0,540.0,604.0
540.0,600.0,540.0,605.0
600.0,480.0,540.0,606.0
600.0,660.0,480.0,607.0
540.0,540.0,600.0,608.0
540.0,600.0,660.0,609.0
660.0,540.0,540.0,610.0
540.0,600.0,480.0,611.0
540.0,480.0,660.0,612.0
540.0,660.0,540.0,613.0
540.0,540.0,600.0,614.0
600.0,540.0,600.0,615.0
600.0,540.0,540.0,616.0
540.0,540.0,480.0,617.0
540.0,540.0,660.0,618.0
600.0,660.0,540.0,619.0
600.0,600.0,600.0,620.0
600.0,540.0,660.0,621.0
600.0,720.0,540.0,622.0
660.0,600.0,600.0,623.0
660.0,660.0,600.0,624.0
660.0,660.0,660.0,625.0
660.0,600.0,720.0,626.0
660.0,780.0,600.0,627.0
720.0,720.0,780.0,628.0
720.0,600.0,660.0,629.0
660.0,720.0,660.0,630.0
660.0,660.0,660.0,631.0
660.0,660.0,780.0,632.0
780.0,720.0,540.0,633.0
780.0,720.0,780.0,634.0
660.0,780.0,780.0,635.0
660.0,720.0,720.0,636.0
660.0,660.0,660.0,637.0
720.0,720.0,720.0,638.0
720.0,600.0,660.0,639.0
660.0,720.0,840.0,640.0
660.0,720.0,600.0,641.0
660.0,600.0,780.0,642.0
720.0,720.0,660.0,643.0
720.0,780.0,660.0,644.0
660.0,660.0,720.0,645.0
660.0,780.0,660.0,646.0
720.0,660.0,720.0,647.0
660.0,660.0,780.0,648.0
660.0,660.0,660.0,649.0
720.0,720.0,780.0,650.0
720.0,660.0,540.0,651.0
660.0,720.0,600.0,652.0
660.0,660.0,900.0,653.0
720.0,660.0,660.0,654.0
720.0,720.0,660.0,655.0
660.0,660.0,780.0,656.0
780.0,720.0,660.0,657.0
660.0,660.0,780.0,658.0
660.0,720.0,600.0,659.0
660.0,660.0,780.0,660.0
660.0,660.0,540.0,661.0
780.0,720.0,660.0,662.0
660.0,660.0,780.0,663.0
660.0,720.0,600.0,664.0
660.0,660.0,720.0,665.0
720.0,720.0,720.0,666.0
720.0,720.0,720.0,667.0
660.0,660.0,720.0,668.0
660.0,660.0,600.0,669.0
720.0,780.0,780.0,670.0
660.0,600.0,660.0,671.0
720.0,720.0,660.0,672.0
660.0,660.0,780.0,673.0
720.0,660.0,660.0,674.0
660.0,780.0,540.0,675.0
660.0,660.0,780.0,676.0
720.0,660.0,720.0,677.0
720.0,720.0,660.0,678.0
660.0,660.0,840.0,679.0
780.0,660.0,600.0,680.0
660.0,720.0,600.0,681.0
660.0,720.0,900.0,682.0
660.0,660.0,780.0,683.0
660.0,660.0,660.0,684.0
780.0,720.0,600.0,685.0
660.0,720.0,660.0,686.0
660.0,660.0,660.0,687.0
660.0,660.0,780.0,688.0
720.0,720.0,660.0,689.0
720.0,660.0,660.0,690.0
660.0,720.0,720.0,691.0
660.0,720.0,660.0,692.0
720.0,660.0,600.0,693.0
660.0,720.0,840.0,694.0
720.0,660.0,660.0,695.0
660.0,660.0,720.0,696.0
720.0,720.0,540.0,697.0
660.0,720.0,840.0,698.0
660.0,660.0,600.0,699.0
720.0,660.0,840.0,700.0
720.0,660.0,540.0,701.0
660.0,780.0,660.0,702.0
660.0,600.0,780.0,703.0
780.0,720.0,600.0,704.0
660.0,660.0,720.0,705.0
660.0,780.0,660.0,706.0
660.0,660.0,780.0,707.0
720.0,720.0,600.0,708.0
720.0,780.0,720.0,709.0
660.0,660.0,660.0,710.0
720.0,600.0,720.0,711.0
720.0,780.0,600.0,712.0
720.0,720.0,780.0,713.0
720.0,780.0,660.0,714.0
720.0,660.0,900.0,715.0
720.0,840.0,600.0,716.0
720.0,660.0,780.0,717.0
720.0,720.0,720.0,718.0
720.0,660.0,660.0,719.0
720.0,720.0,660.0,720.0
720.0,840.0,840.0,721.0
720.0,720.0,720.0,722.0
720.0,660.0,780.0,723.0
720.0,780.0,660.0,724.0
720.0,660.0,720.0,725.0
660.0,660.0,660.0,726.0
780.0,780.0,720.0,727.0
660.0,600.0,720.0,728.0
660.0,660.0,720.0,729.0
660.0,720.0,600.0,730.0
660.0,660.0,780.0,731.0
780.0,660.0,600.0,732.0
660.0,780.0,600.0,733.0
660.0,660.0,900.0,734.0
660.0,660.0,600.0,735.0
720.0,780.0,660.0,736.0
720.0,660.0,720.0,737.0
660.0,660.0,720.0,738.0
660.0,720.0,780.0,739.0
720.0,720.0,660.0,740.0
660.0,660.0,720.0,741.0
660.0,660.0,660.0,742.0
780.0,720.0,720.0,743.0
660.0,660.0,660.0,744.0
660.0,660.0,720.0,745.0
660.0,720.0,600.0,746.0
660.0,720.0,840.0,747.0
780.0,660.0,600.0,748.0
660.0,660.0,660.0,749.0
660.0,720.0,720.0,750.0
780.0,660.0,660.0,751.0
660.0,720.0,720.0,752.0
660.0,660.0,720.0,753.0
660.0,660.0,660.0,754.0
720.0,660.0,600.0,755.0
720.0,720.0,780.0,756.0
660.0,720.0,600.0,757.0
660.0,660.0,720.0,758.0
720.0,660.0,780.0,759.0
660.0,720.0,660.0,760.0
660.0,720.0,720.0,761.0
720.0,600.0,720.0,762.0
720.0,780.0,600.0,763.0
660.0,720.0,720.0,764.0
660.0,660.0,660.0,765.0
660.0,720.0,720.0,766.0
780.0,660.0,660.0,767.0
660.0,600.0,660.0,768.0
660.0,720.0,720.0,769.0
660.0,780.0,720.0,770.0
720.0,660.0,720.0,771.0
660.0,600.0,780.0,772.0
720.0,720.0,600.0,773.0
720.0,720.0,660.0,774.0
720.0,660.0,720.0,775.0
660.0,660.0,840.0,776.0
660.0,720.0,480.0,777.0
720.0,660.0,840.0,778.0
660.0,720.0,720.0,779.0
660.0,720.0,600.0,780.0
660.0,540.0,600.0,781.0
720.0,780.0,720.0,782.0
660.0,600.0,660.0,783.0
660.0,720.0,720.0,784.0
660.0,660.0,660.0,785.0
780.0,720.0,780.0,786.0
660.0,720.0,600.0,787.0
660.0,720.0,720.0,788.0
660.0,660.0,660.0,789.0
720.0,660.0,720.0,790.0
720.0,720.0,600.0,791.0
660.0,720.0,780.0,792.0
660.0,660.0,660.0,793.0
720.0,720.0,660.0,794.0
660.0,660.0,660.0,795.0
720.0,660.0,780.0,796.0
720.0,720.0,600.0,797.0
720.0,660.0,660.0,798.0
660.0,720.0,840.0,799.0
660.0,660.0,600.0,800.0
660.0,660.0,600.0,801.0
720.0,720.0,780.0,802.0
720.0,660.0,780.0,803.0
660.0,660.0,600.0,804.0
660.0,720.0,720.0,805.0
720.0,720.0,720.0,806.0
660.0,600.0,600.0,807.0
720.0,780.0,660.0,808.0
660.0,720.0,720.0,809.0
720.0,660.0,840.0,810.0
660.0,660.0,600.0,811.0
660.0,720.0,720.0,812.0
720.0,660.0,780.0,813.0
720.0,660.0,600.0,814.0
660.0,780.0,780.0,815.0
660.0,660.0,660.0,816.0
720.0,660.0,720.0,817.0
660.0,720.0,600.0,818.0
720.0,660.0,720.0,819.0
660.0,660.0,660.0,820.0
780.0,720.0,780.0,821.0
660.0,660.0,780.0,822.0
660.0,720.0,600.0,823.0
660.0,660.0,720.0,824.0
720.0,720.0,780.0,825.0
720.0,660.0,600.0,826.0
660.0,720.0,780.0,827.0
660.0,600.0,780.0,828.0
720.0,720.0,600.0,829.0
780.0,780.0,660.0,830.0
720.0,720.0,840.0,831.0
720.0,660.0,960.0,832.0
720.0,780.0,600.0,833.0
780.0,780.0,780.0,834.0
780.0,840.0,780.0,835.0
720.0,720.0,660.0,836.0
720.0,780.0,840.0,837.0
720.0,780.0,720.0,838.0
840.0,720.0,780.0,839.0
720.0,600.0,900.0,840.0
720.0,840.0,480.0,841.0
720.0,840.0,960.0,842.0
780.0,600.0,780.0,843.0
840.0,840.0,540.0,844.0
780.0,720.0,960.0,845.0
720.0,720.0,600.0,846.0
720.0,720.0,780.0,847.0
720.0,840.0,780.0,848.0
840.0,720.0,840.0,849.0
720.0,780.0,720.0,850.0
720.0,660.0,780.0,851.0
720.0,840.0,600.0,852.0
780.0,720.0,840.0,853.0
780.0,720.0,780.0,854.0
720.0,840.0,840.0,855.0
720.0,660.0,720.0,856.0
780.0,900.0,720.0,857.0
780.0,720.0,720.0,858.0
720.0,720.0,840.0,859.0
720.0,720.0,600.0,860.0
780.0,840.0,960.0,861.0
780.0,660.0,660.0,862.0
720.0,900.0,660.0,863.0
720.0,720.0,840.0,864.0
780.0,780.0,660.0,865.0
720.0,780.0,780.0,866.0
780.0,720.0,780.0,867.0
780.0,720.0,720.0,868.0
780.0,780.0,780.0,869.0
720.0,660.0,840.0,870.0
720.0,780.0,600.0,871.0
840.0,840.0,840.0,872.0
720.0,720.0,780.0,873.0
720.0,720.0,660.0,874.0
720.0,720.0,900.0,875.0
780.0,780.0,780.0,876.0
780.0,780.0,780.0,877.0
720.0,720.0,780.0,878.0
720.0,780.0,720.0,879.0
780.0,840.0,720.0,880.0
780.0,600.0,780.0,881.0
780.0,840.0,720.0,882.0
780.0,780.0,780.0,883.0
780.0,900.0,840.0,884.0
720.0,660.0,780.0,885.0
840.0,720.0,720.0,886.0
840.0,900.0,660.0,887.0
780.0,780.0,840.0,888.0
780.0,840.0,1080.0,889.0
840.0,840.0,660.0,890.0
840.0,780.0,1020.0,891.0
900.0,960.0,780.0,892.0
780.0,780.0,840.0,893.0
780.0,840.0,900.0,894.0
840.0,840.0,840.0,895.0
840.0,780.0,840.0,896.0
780.0,780.0,900.0,897.0
780.0,840.0,780.0,898.0
840.0,780.0,840.0,899.0
840.0,840.0,720.0,900.0
780.0,840.0,900.0,901.0
